[2025-06-26 14:30:20] [INFO    ] discord.client: logging in using static token
[2025-06-26 14:30:21] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-06-26 14:30:21] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-06-26 14:30:21] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1387521864192102602', 'username': 'abyzmal bot', 'avatar': '50095fed62136bc21f39b5ce31f58cd7', 'discriminator': '7400', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-06-26 14:30:21] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-06-26 14:30:21] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-06-26 14:30:21] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1387521864192102602', 'name': 'abyzmal bot', 'icon': '50095fed62136bc21f39b5ce31f58cd7', 'description': '', 'type': None, 'bot': {'id': '1387521864192102602', 'username': 'abyzmal bot', 'avatar': '50095fed62136bc21f39b5ce31f58cd7', 'discriminator': '7400', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '09d816494cd40b718b793b442a27168feba552cf5836d301248dea61ab99b115', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '525885316050190348', 'username': 's.o.l.a.r.u.s.', 'avatar': '38b7223aa9555b9a5a319c2ccd3e180b', 'discriminator': '0', 'public_flags': 64, 'flags': 64, 'banner': '1b0412bedc23db3ad6dd3fd3f91ea497', 'accent_color': 1579292, 'global_name': 'sol', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': '#18191c', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2272, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-06-26 14:30:22] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-06-26 14:30:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-b-j8zp",{"micros":0.0}]']}}
[2025-06-26 14:30:22] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-06-26 14:30:22] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
